district_id,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月日,建物總面積平方公尺,建物現況格局_房,建物現況格局_廳,建物現況格局_衛,建物現況格局_隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,serial_number,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務,city_id
191,房地(土地+建物)+車位,臺北市中山區中山北路二段１４５號,223.04,商,NULL,NULL,1120726,土地1建物1車位2,見其他登記事項,17.0,店面(店鋪),一般零售業甲組（不含便利商店）,鋼骨造,1031222.0,545.34,0,0,2,1,1,0,270000,495.0,坡道平面,59.98,0,租賃期間為112年9月1日起至118年8月31日止含管理費、稅金或水電等費用。；,RPRNMLRLPHIGFCA28CC,NULL,NULL,NULL,NULL,NULL,NULL,17
191,建物,臺北市中山區北安路８２９號１１樓之１０,0.0,住,NULL,NULL,1120725,土地0建物1車位0,十一層,14.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,991224.0,46.83,1,1,1,1,1,1,24000,512.0,NULL,0.0,0,NULL,RPUNMLOKQHIGFCA28CC,NULL,NULL,NULL,NULL,NULL,NULL,17
196,房地(土地+建物)+車位,臺北市內湖區康寧路三段１２號六樓之２,22.86,商,NULL,NULL,1120814,土地1建物1車位1,六層,15.0,廠辦,見其他登記事項,鋼筋混凝土造,1120104.0,129.57,2,1,1,1,1,1,34600,267.0,坡道平面,44.58,0,NULL,RPQOMLLLQHIGFCA77CC,NULL,NULL,NULL,NULL,NULL,NULL,17
191,建物,臺北市中山區明水路４１９號１２樓之２,0.0,住,NULL,NULL,1120710,土地0建物1車位1,十二層,14.0,住宅大樓(11層含以上1電梯),住家用,鋼筋混凝土造,831006.0,183.43,4,2,2,1,1,1,79800,435.0,坡道平面,34.14,0,NULL,RPXNMLNLQHIGFCA58CC,NULL,NULL,NULL,NULL,NULL,NULL,17
180,房地(土地+建物)+車位,臺北市萬華區康定路１０５號五樓之７,5.2,商,NULL,NULL,1120814,土地1建物1車位1,五層,26.0,住宅大樓(11層含以上1電梯),住家用,鋼骨造,1050331.0,105.24,2,1,1,1,1,1,33000,314.0,坡道平面,33.69,0,NULL,RPOOMLQKQHIGFBA87CC,NULL,NULL,NULL,NULL,NULL,NULL,17
191,建物,臺北市中山區南京東路一段１６號９樓之１,0.0,商,NULL,NULL,1120724,土地0建物1車位0,九層,9.0,辦公商業大樓,NULL,鋼筋混凝土造,561031.0,91.63,0,0,0,0,1,1,30000,327.0,NULL,0.0,0,此案件於112.8.10解約撤銷.租約不成立,RPRNMLSLPHIGFCA38CC,NULL,NULL,NULL,NULL,NULL,NULL,17
191,建物,臺北市中山區民生東路一段７８號１２樓之３,0.0,商,NULL,NULL,1120720,土地0建物1車位0,十二層,12.0,住宅大樓(11層含以上1電梯),住家用,鋼筋混凝土造,730605.0,35.64,1,1,1,1,1,1,11000,309.0,NULL,0.0,0,社會住宅： 國家住宅及都市中心辦理社會住宅包租代管計畫,RPPNMLOJQHIGFCA67CC,NULL,NULL,NULL,NULL,NULL,NULL,17
191,房地(土地+建物)+車位,臺北市中山區敬業三路１６２巷５５號６樓,43.3,住,NULL,NULL,1120719,土地1建物1車位1,六層,10.0,華廈(10層含以下1電梯),住家用,鋼筋混凝土造,890628.0,142.8,3,2,2,1,1,1,39000,273.0,坡道平面,0.0,0,NULL,RPQNMLRJQHIGFCA08CC,NULL,NULL,NULL,NULL,NULL,NULL,17
191,建物,臺北市中山區復興北路３６６號,0.0,商,NULL,NULL,1120713,土地0建物1車位0,一層,7.0,店面(店鋪),商業用,鋼筋混凝土造,701125.0,64.84,0,0,0,0,1,0,100000,1542.0,NULL,0.0,0,NULL,RPSOMLLKQHIGFCA87CC,NULL,NULL,NULL,NULL,NULL,NULL,17
191,房地(土地+建物),臺北市中山區松江路１００巷１３號１樓,28.75,住,NULL,NULL,1120726,土地1建物1車位0,一層,4.0,店面(店鋪),住家用,鋼筋混凝土造,560206.0,86.98,0,1,2,1,0,1,57500,661.0,NULL,0.0,0,NULL,RPPNMLNKQHIGFCA67CC,NULL,NULL,NULL,NULL,NULL,NULL,17
191,建物,臺北市中山區松江路３３０巷３０號１樓,0.0,住,NULL,NULL,1120807,土地0建物1車位0,一層,5.0,店面(店鋪),住家用,鋼筋混凝土造,661128.0,68.69,0,0,0,0,0,1,25000,364.0,NULL,0.0,0,隔間出租20.78坪,RPROMLTLQHIGFCA68CC,NULL,NULL,NULL,NULL,NULL,NULL,17
210,租賃房屋,臺北市士林區中正路６４４號５樓,0.0,NULL,NULL,NULL,1120907,土地0建物0車位0,六層,5.0,公寓(5樓含以下0電梯),住家用,鋼筋混凝土造,690827.0,20.0,2,1,1,1,0,1,8500,425.0,NULL,0.0,0,租金總額含水費；瓦斯費；網路費；含增建或未登記建物；租賃建物部分範圍，且未計入共1部分面積；,RPQOMLMLRHIGFEA18CC,分租雅房,0.0,1120907~1130906,0.0,冷氣、熱水器、洗衣機、電視機、冰箱、1線電視、網路,一般轉租,17
