serial_number,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
RPQOMLLLQHIGFCA77CC,1.0,51.68,見其他登記事項,鋼筋混凝土造,112年1月4日,十五層,NULL,NULL
RPQOMLLLQHIGFCA77CC,1.0,3.57,見其他登記事項,鋼筋混凝土造,112年1月4日,十五層,NULL,NULL
RPXNMLNLQHIGFCA58CC,29.0,123.03,住家用,鋼筋混凝土造,83年10月6日,十四層,NULL,NULL
RPQOMLLLQHIGFCA77CC,1.0,3.24,見其他登記事項,鋼筋混凝土造,112年1月4日,十五層,NULL,NULL
RPXNMLNLQHIGFCA58CC,29.0,26.45,共有部分,鋼筋混凝土造,83年10月6日,十四層,NULL,NULL
RPXNMLNLQHIGFCA58CC,29.0,33.95,停車空間,鋼筋混凝土造,83年10月6日,十四層,NULL,NULL
RPQOMLLLQHIGFCA77CC,1.0,26.5,本共有部分之項目有管委會使用空間、管委會使用空間（一）、管委會使用空間（二）、進氣管道、排風管道、排煙室、戶外安全梯、安全梯、昇降機１５人份、（行動不便者使用）緊急昇降機１５人份、梯廳Ｈ２、梯廳、茶水間、無障礙廁所、走廊、樓梯間、梯間、消防水箱、水箱、水錶區、電梯機房、機電設備空間（進風機房）、機電設備空間（緊急發電機室）、機電設備空間（供垃圾儲藏使用）、機電設備空間（供電信使用）、機電設備設備空間、機電設備空間ａ、機電設備空間ｂ、地下室進氣、地下室排氣、機車停車空間、台電配電場所、受電箱、電錶室、消防泵浦室、裝卸車位編號１００號等３６項。,鋼筋混凝土造,112年1月4日,十五層,NULL,NULL
RPQOMLLLQHIGFCA77CC,1.0,44.58,本共有部分之項目有防空避難室兼停車空間、車道、停車空間等３項。,鋼筋混凝土造,112年1月4日,十五層,NULL,NULL
RPOOMLQKQHIGFBA87CC,7.0,45.36,住家用,鋼骨造,105年3月31日,二十六層,NULL,NULL
RPOOMLQKQHIGFBA87CC,7.0,57.28,本共有部分之項目有機電設備空間、消防中繼水箱、消防機電設備空間、消防中繼幫浦室、自來水箱、樓梯間、進風、排煙、一般安全梯Ｄ、安全梯Ｂ２、安全梯Ｂ３、緊急升降機、緊急升降機兼供行動不便者使用電梯、一般昇降機、排煙室Ｂ１、電力管道室、走道、無機房昇降機、防災中心、信箱間、特別安全梯Ａ、特別安全梯Ｂ、特別安全梯Ｃ、一般安全梯Ａ１、一般安全梯Ｂ１、排煙室Ａ１、排煙室Ａ２、排煙室Ｂ２、排煙室Ｃ、梯廳（排煙室Ｂ１）、梯廳、消防撒水、排水、排氣、進氣口、排氣口管道、發電機排氣口、進氣管道、電氣排水消防、陽台、（６ＭＸ１２Ｍ）緩衝空間、電力、管理委員會使用空間、走廊、水錶室、電管道室、台電配電室、受電箱、排氣管道、弱電、消防管道、機電設備空間（消防中繼幫浦室）、防空避難室兼停車空間、發電機室兼大公變電室、垃圾處理室、垃圾裝卸空間、電梯間、停車空間、機電設備空間（供電信使用）、小公變電室、自來水池、消防幫浦室、法定裝卸車位、騎樓、自設騎樓及法定騎樓等６６項,鋼骨造,105年3月31日,二十六層,NULL,NULL
RPOOMLQKQHIGFBA87CC,7.0,1.85,一般零售業（甲組）（不含便利商店）,鋼骨造,105年3月31日,二十六層,NULL,NULL
