serial_number,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
RPQOMLLLQHIGFCA77CC,東湖段六小段,22.86,都市：商,NULL,NULL,NULL,5450000
RPXNMLNLQHIGFCA58CC,北安段三小段,0.0,都市：住,NULL,NULL,NULL,6580000
RPOOMLQKQHIGFBA87CC,漢中段三小段,5.2,都市：商,NULL,NULL,NULL,8160000
RPSOMLLKQHIGFCA87CC,榮星段三小段,0.0,都市：商,NULL,NULL,NULL,500000
RPPNMLNKQHIGFCA67CC,長安段三小段,28.75,都市：住,NULL,NULL,NULL,5730000
RPROMLTLQHIGFCA68CC,吉林段一小段,0.0,都市：住,NULL,NULL,NULL,3220000
RPQNMLPJQHIGFCA97DC,榮星段四小段,29.6,都市：商,NULL,NULL,NULL,4890000
RPTNMLTJQHIGFAA38CC,興泰段一小段,0.0,都市：住,NULL,NULL,NULL,8030000
RPUNMLOKQHIGFBA18CC,大龍段二小段,22.0,都市：住,NULL,NULL,NULL,4320000
RPUNMLOKQHIGFBA18CC,大龍段二小段,2.0,都市：住,NULL,NULL,NULL,4310000
RPRNMLRKQHIGFCA28CC,中山段三小段,0.0,都市：商,NULL,NULL,NULL,5350000
RPPNMLMLQHIGFCA67CC,吉林段三小段,0.0,都市：商,NULL,NULL,NULL,9210000
RPSOMLMLQHIGFCA08CC,西湖段四小段,0.0,都市：工,NULL,NULL,NULL,1510000
RPQNMLSLQHIGFCA38CC,長春段一小段,1.07,都市：商,NULL,NULL,NULL,7720000
RPUNMLOKQHIGFCA28CC,北安段一小段,0.0,都市：住,NULL,NULL,NULL,10007
RPUOMLKKQHIGFCA97CC,吉林段三小段,0.0,都市：住,NULL,NULL,NULL,6770000
RPPNMLTKQHIGFCA28CC,吉林段一小段,40.0,都市：其他:第二種商業區(特),NULL,NULL,NULL,5570000
RPPNMLMLQHIGFFA97CC,仁愛段三小段,0.0,都市：住,NULL,NULL,NULL,160000
RPSNMLMLQHIGFFA28CC,龍泉段一小段,0.0,都市：商,NULL,NULL,NULL,11240000
RPTNMLPLQHIGFFA68CC,大安段三小段,0.0,都市：住,NULL,NULL,NULL,5740000
RPRNMLSLPHIGFCA38CC,正義段三小段,0.0,都市：商,NULL,NULL,NULL,2960000
RPRNMLSLPHIGFCA38CC,正義段三小段,0.0,都市：商,NULL,NULL,NULL,2970000
RPPNMLOJQHIGFCA67CC,吉林段四小段,0.0,都市：商,NULL,NULL,NULL,4410000
RPRNMLSLPHIGFCA38CC,正義段三小段,0.0,都市：商,NULL,NULL,NULL,3170000
RPQNMLRJQHIGFCA08CC,金泰段,43.3,都市：住,NULL,NULL,NULL,720000
RPPNMLSJQHIGFCA08CC,榮星段三小段,87.0,都市：住,NULL,NULL,NULL,2910000
RPPNMLSJQHIGFCA08CC,榮星段三小段,8.0,都市：住,NULL,NULL,NULL,2900001
RPVNMLTKNHIGFFA88CC,金華段一小段,270.0,都市：住,NULL,NULL,NULL,2570000
RPRNMLRLPHIGFCA28CC,中山段一小段,223.04,都市：商,NULL,NULL,NULL,8270000
RPPNMLKMQHIGFBA47CC,臨沂段二小段,0.0,都市：住,NULL,NULL,NULL,1810000
RPUNMLLLRHIGFBB18CC,賴厝廍段,3.37,都市：住,NULL,NULL,NULL,3340000
RPQNMLLLRHIGFBB77CC,東光段,2.18,都市：商,NULL,NULL,NULL,1950001
RPSNMLLLRHIGFBB97CC,錦村段,39.1,都市：住,NULL,NULL,NULL,2210000
RPSNMLLLRHIGFBB97CC,錦村段,2.5,都市：住,NULL,NULL,NULL,2210011
RPTNMLLLRHIGFBB08CC,北屯段,3.04,都市：住,NULL,NULL,NULL,1680000
RPOOMLLLRHIGFBB67CC,碧柳段,12.08,都市：住,NULL,NULL,NULL,1590000
RPPNMLLLRHIGFBB67CC,同榮段,15.86,都市：住,NULL,NULL,NULL,21180000
RPVNMLLLRHIGFBB28CC,大盛段,58.38,都市：住,NULL,NULL,NULL,4910000
RPRNMLLLRHIGFBB87CC,中德段,2.38,都市：住,NULL,NULL,NULL,4660000
RPWNMLLLRHIGFBB38CC,東峰段,9.24,都市：住,NULL,NULL,NULL,1580000
RPTOMLLLRHIGFBB18CC,賴厝廍段,2.87,都市：商,NULL,NULL,NULL,4380000
RPSOMLLLRHIGFBB08CC,中德段,5.03,都市：住,NULL,NULL,NULL,4660000
RPQOMLLLRHIGFBB87CC,賴厝廍段,19.33,都市：住,NULL,NULL,NULL,280052
RPUOMLLLRHIGFBB28CC,東光段,2.3,都市：商,NULL,NULL,NULL,1950001
RPPOMLLLRHIGFBB77CC,邱厝子段,44.0,都市：住,NULL,NULL,NULL,1480418
RPVNMLLLRHIGFCB38CC,惠信段,8.3,都市：住,NULL,NULL,NULL,550000
RPUNMLLLRHIGFCB28CC,春安段,22.23,都市：住,NULL,NULL,NULL,5860000
RPXNMLLLRHIGFCB58CC,寶山段,22.21,都市：住,NULL,NULL,NULL,6420000
RPWNMLLLRHIGFCB48CC,上石碑段,4.52,都市：住,NULL,NULL,NULL,18050002
RPPOMLLLRHIGFCB87CC,永定段,83.0,都市：住,NULL,NULL,NULL,3250000
RPPOMLLLRHIGFCB87CC,永定段,12.0,都市：住,NULL,NULL,NULL,3260000
RPOOMLLLRHIGFCB77CC,福星段,418.8,都市：住,NULL,NULL,NULL,2950000
RPOOMLLLRHIGFCB77CC,福星段,437.07,都市：住,NULL,NULL,NULL,2960000
RPRNMLLLRHIGFCB97CC,上石碑段,0.0,都市：住,NULL,NULL,NULL,11870000
RPQNMLLLRHIGFCB87CC,民安段,5.34,都市：住,NULL,NULL,NULL,18860000
RPSOMLLLRHIGFCB18CC,廣明段,4.93,都市：住,NULL,NULL,NULL,6740000
RPPOMLLLRHIGFDB97CC,龍宮段,68.27,都市：住,NULL,NULL,NULL,10240000
RPRNMLLLRHIGFDB08CC,豐原段,87.0,都市：商,NULL,NULL,NULL,4020002
RPPNMLLLRHIGFIB38CC,新高鐵段,12.4,都市：商,NULL,NULL,NULL,890000
RPRNMLLLRHIGFIB58CC,光日段,11.13,都市：商,NULL,NULL,NULL,6280000
