district_id,city_id,鄉鎮英文名_103,縣市鄉鎮名_103,縣市名_103,鄉鎮名_103,鄉鎮代碼_103,Unnamed: 10
1,1,Beigan Township,連江縣北竿鄉,連江縣,北竿鄉,900702,
2,1,Nangan Township,連江縣南竿鄉,連江縣,南竿鄉,900701,
3,1,Dongyin Township,連江縣東引鄉,連江縣,東引鄉,900704,
4,1,Juguang Township,連江縣莒光鄉,連江縣,莒光鄉,900703,
5,2,Lieyu Township,金門縣烈嶼鄉,金門縣,烈嶼鄉,902005,
6,2,Jincheng Township,金門縣金城鎮,金門縣,金城鎮,902001,
7,2,Jinning Township,金門縣金寧鄉,金門縣,金寧鄉,902004,
8,2,Jinsha Township,金門縣金沙鎮,金門縣,金沙鎮,902002,
9,2,Jinhu Township,金門縣金湖鎮,金門縣,金湖鎮,902003,
10,2,Wuqiu Township,金門縣烏坵鄉,金門縣,烏坵鄉,902006,
11,27,Liouguei Distric,高雄市六龜區,高雄市,六龜區,6403200,
12,27,Yong-an District,高雄市永安區,高雄市,永安區,6402700,
13,21,Beimen District,臺南市北門區,臺南市,北門區,6701700,
14,21,Jiangjyun Distric,臺南市將軍區,臺南市,將軍區,6701600,
15,21,Cigu District,臺南市七股區,臺南市,七股區,6701500,
16,27,Siaogang Distric,高雄市小港區,高雄市,小港區,6401100,
17,27,Cianjhen Distric,高雄市前鎮區,高雄市,前鎮區,6400900,
18,27,Lingya District,高雄市苓雅區,高雄市,苓雅區,6400800,
19,27,Cijin District,高雄市旗津區,高雄市,旗津區,6401000,
20,27,Linyuan District,高雄市林園區,高雄市,林園區,6401300,
21,27,Cianjin District,高雄市前金區,高雄市,前金區,6400700,
22,27,Sinsing District,高雄市新興區,高雄市,新興區,6400600,
23,27,Fongshan District,高雄市鳳山區,高雄市,鳳山區,6401200,
24,27,Daliao District,高雄市大寮區,高雄市,大寮區,6401400,
25,27,Gushan District,高雄市鼓山區,高雄市,鼓山區,6400200,
26,27,Sanmin District,高雄市三民區,高雄市,三民區,6400500,
27,27,Niaosong District,高雄市鳥松區,高雄市,鳥松區,6401800,
28,27,Zuoying District,高雄市左營區,高雄市,左營區,6400300,
29,27,Renwu District,高雄市仁武區,高雄市,仁武區,6401700,
30,27,Nanzih District,高雄市楠梓區,高雄市,楠梓區,6400400,
31,27,Dashe District,高雄市大社區,高雄市,大社區,6401600,
32,27,Zihguan District,高雄市梓官區,高雄市,梓官區,6402900,
33,27,Dashu District,高雄市大樹區,高雄市,大樹區,6401500,
34,27,Ciaotou District,高雄市橋頭區,高雄市,橋頭區,6402000,
35,27,Mituo District,高雄市彌陀區,高雄市,彌陀區,6402800,
36,27,Yanchao District,高雄市燕巢區,高雄市,燕巢區,6402100,
37,27,Gangshan District,高雄市岡山區,高雄市,岡山區,6401900,
38,27,Lujhu District,高雄市路竹區,高雄市,路竹區,6402400,
39,27,Alian District,高雄市阿蓮區,高雄市,阿蓮區,6402300,
40,27,Jiading District,高雄市茄萣區,高雄市,茄萣區,6402600,
41,27,Hunei District,高雄市湖內區,高雄市,湖內區,6402500,
42,27,Tianliao District,高雄市田寮區,高雄市,田寮區,6402200,
43,27,Cishan District,高雄市旗山區,高雄市,旗山區,6403000,
44,27,Meinong District,高雄市美濃區,高雄市,美濃區,6403100,
45,21,South District,臺南市南區,臺南市,南區,6703300,
46,21,Rende District,臺南市仁德區,臺南市,仁德區,6702700,
47,21,West Central District,臺南市中西區,臺南市,中西區,6703700,
48,27,Maolin District,高雄市茂林區,高雄市,茂林區,6403600,
49,21,East District,臺南市東區,臺南市,東區,6703200,
50,21,Anping District,臺南市安平區,臺南市,安平區,6703600,
51,21,Longci District,臺南市龍崎區,臺南市,龍崎區,6703000,
52,21,Guanmiao District,臺南市關廟區,臺南市,關廟區,6702900,
53,21,Gueiren District,臺南市歸仁區,臺南市,歸仁區,6702800,
54,21,North District,臺南市北區,臺南市,北區,6703400,
55,27,Neimen District,高雄市內門區,高雄市,內門區,6403500,
56,27,Shanlin District,高雄市杉林區,高雄市,杉林區,6403400,
57,21,Yongkang District,臺南市永康區,臺南市,永康區,6703100,
58,21,Sinhua District,臺南市新化區,臺南市,新化區,6701800,
59,21,Zuojhen District,臺南市左鎮區,臺南市,左鎮區,6702600,
60,21,West Central District,臺南市安南區,臺南市,安南區,6703500,
