Serial Number,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
RPQOMLLLQHIGFCA77CC,1.0,51.68,見其他登記事項,鋼筋混凝土造,112年1月4日,十五層,,
RPQOMLLLQHIGFCA77CC,1.0,3.57,見其他登記事項,鋼筋混凝土造,112年1月4日,十五層,,
RPXNMLNLQHIGFCA58CC,29.0,123.03,住家用,鋼筋混凝土造,83年10月6日,十四層,,
RPQOMLLLQHIGFCA77CC,1.0,3.24,見其他登記事項,鋼筋混凝土造,112年1月4日,十五層,,
RPXNMLNLQHIGFCA58CC,29.0,26.45,共有部分,鋼筋混凝土造,83年10月6日,十四層,,
RPXNMLNLQHIGFCA58CC,29.0,33.95,停車空間,鋼筋混凝土造,83年10月6日,十四層,,
RPQOMLLLQHIGFCA77CC,1.0,26.5,本共有部分之項目有管委會使用空間、管委會使用空間（一）、管委會使用空間（二）、進氣管道、排風管道、排煙室、戶外安全梯、安全梯、昇降機１５人份、（行動不便者使用）緊急昇降機１５人份、梯廳Ｈ２、梯廳、茶水間、無障礙廁所、走廊、樓梯間、梯間、消防水箱、水箱、水錶區、電梯機房、機電設備空間（進風機房）、機電設備空間（緊急發電機室）、機電設備空間（供垃圾儲藏使用）、機電設備空間（供電信使用）、機電設備設備空間、機電設備空間ａ、機電設備空間ｂ、地下室進氣、地下室排氣、機車停車空間、台電配電場所、受電箱、電錶室、消防泵浦室、裝卸車位編號１００號等３６項。,鋼筋混凝土造,112年1月4日,十五層,,
RPQOMLLLQHIGFCA77CC,1.0,44.58,本共有部分之項目有防空避難室兼停車空間、車道、停車空間等３項。,鋼筋混凝土造,112年1月4日,十五層,,
RPOOMLQKQHIGFBA87CC,7.0,45.36,住家用,鋼骨造,105年3月31日,二十六層,,
RPOOMLQKQHIGFBA87CC,7.0,57.28,本共有部分之項目有機電設備空間、消防中繼水箱、消防機電設備空間、消防中繼幫浦室、自來水箱、樓梯間、進風、排煙、一般安全梯Ｄ、安全梯Ｂ２、安全梯Ｂ３、緊急升降機、緊急升降機兼供行動不便者使用電梯、一般昇降機、排煙室Ｂ１、電力管道室、走道、無機房昇降機、防災中心、信箱間、特別安全梯Ａ、特別安全梯Ｂ、特別安全梯Ｃ、一般安全梯Ａ１、一般安全梯Ｂ１、排煙室Ａ１、排煙室Ａ２、排煙室Ｂ２、排煙室Ｃ、梯廳（排煙室Ｂ１）、梯廳、消防撒水、排水、排氣、進氣口、排氣口管道、發電機排氣口、進氣管道、電氣排水消防、陽台、（６ＭＸ１２Ｍ）緩衝空間、電力、管理委員會使用空間、走廊、水錶室、電管道室、台電配電室、受電箱、排氣管道、弱電、消防管道、機電設備空間（消防中繼幫浦室）、防空避難室兼停車空間、發電機室兼大公變電室、垃圾處理室、垃圾裝卸空間、電梯間、停車空間、機電設備空間（供電信使用）、小公變電室、自來水池、消防幫浦室、法定裝卸車位、騎樓、自設騎樓及法定騎樓等６６項,鋼骨造,105年3月31日,二十六層,,
RPOOMLQKQHIGFBA87CC,7.0,1.85,一般零售業（甲組）（不含便利商店）,鋼骨造,105年3月31日,二十六層,,
RPOOMLQKQHIGFBA87CC,7.0,0.75,本共有部分之項目有機電設備空間、消防中繼水箱、消防機電設備空間、消防中繼幫浦室、自來水箱、樓梯間、進風、排煙、一般安全梯Ｄ、安全梯Ｂ２、安全梯Ｂ３、緊急升降機、緊急升降機兼供行動不便者使用電梯、一般昇降機、排煙室Ｂ１、電力管道室、走道、無機房昇降機、防災中心、信箱間、特別安全梯Ａ、特別安全梯Ｂ、特別安全梯Ｃ、一般安全梯Ａ１、一般安全梯Ｂ１、排煙室Ａ１、排煙室Ａ２、排煙室Ｂ２、排煙室Ｃ、梯廳（排煙室Ｂ１）、梯廳、消防撒水、排水、排氣、進氣口、排氣口管道、發電機排氣口、進氣管道、電氣排水消防、陽台、（６ＭＸ１２Ｍ）緩衝空間、電力、管理委員會使用空間、走廊、水錶室、電管道室、台電配電室、受電箱、排氣管道、弱電、消防管道、機電設備空間（消防中繼幫浦室）、防空避難室兼停車空間、發電機室兼大公變電室、垃圾處理室、垃圾裝卸空間、電梯間、停車空間、機電設備空間（供電信使用）、小公變電室、自來水池、消防幫浦室、法定裝卸車位、騎樓、自設騎樓及法定騎樓等６６項,鋼骨造,105年3月31日,二十六層,,
RPSOMLLKQHIGFCA87CC,42.0,59.51,商業用,鋼筋混凝土造,70年11月25日,七層,,
RPSOMLLKQHIGFCA87CC,42.0,5.33,共有部分,鋼筋混凝土造,70年11月25日,七層,,
RPPNMLNKQHIGFCA67CC,56.0,86.98,住家用,鋼筋混凝土造,56年2月6日,四層,,
RPROMLTLQHIGFCA68CC,46.0,68.69,住家用,鋼筋混凝土造,66年11月28日,五層,,
RPQNMLPJQHIGFCA97DC,43.0,108.35,見使用執照,鋼筋混凝土造,69年8月16日,五層,,
RPTNMLTJQHIGFAA38CC,28.0,114.89,住家用,鋼筋混凝土造,84年5月16日,十二層,,
RPTNMLTJQHIGFAA38CC,28.0,9.5,見使用執照,鋼筋混凝土造,84年5月16日,十三層,,
RPTNMLTJQHIGFAA38CC,28.0,52.43,防空避難室兼停車場、停車空間,鋼筋混凝土造,84年5月16日,十三層,,
RPRNMLRKQHIGFCA28CC,24.0,12.24,商業用,鋼筋混凝土造,88年9月28日,十六層,,
RPPNMLMLQHIGFCA67CC,39.0,30.23,住家用,鋼筋混凝土造,73年9月27日,十三層,,
RPPNMLMLQHIGFCA67CC,39.0,7.63,共有部分,鋼筋混凝土造,73年9月27日,十三層,,
RPSOMLMLQHIGFCA08CC,23.0,142.78,商業用,鋼筋混凝土造,89年7月13日,八層,,
RPSOMLMLQHIGFCA08CC,23.0,80.58,共有部分,鋼筋混凝土造,89年7月13日,八層,,
RPSOMLMLQHIGFCA08CC,23.0,12.78,共有部分,鋼筋混凝土造,89年7月13日,八層,,
RPQNMLSLQHIGFCA38CC,43.0,230.08,商業用,鋼筋混凝土造,69年8月22日,十二層,,
RPUNMLOKQHIGFCA28CC,13.0,29.07,住家用,鋼筋混凝土造,99年12月24日,十四層,,
RPUNMLOKQHIGFCA28CC,13.0,15.3,本共有部分之項目有：管委會空間、機車停車空間、外廊、機房、陽臺、Ａ戶外樓梯、Ｂ戶外樓梯、排煙室、梯廳、緊急升降機、走道、雨遮、水箱、進風、排煙、發電機室、電錶室、排風、台電配電室、機房〈供電信使用〉、消防泵浦室、發電機油箱等２２項。,鋼筋混凝土造,99年12月24日,十四層,,
RPUNMLOKQHIGFCA28CC,13.0,2.46,本共有部分之項目有：排煙室兼梯廳、緊急升降機、車道、花台、景觀水池、陽台、防空避難室兼停車空間、排煙室、停車空間、等９項。,鋼筋混凝土造,99年12月24日,十四層,,
RPUOMLKKQHIGFCA97CC,57.0,87.55,住家用,加強磚造,55年5月26日,三層,,
RPPNMLTKQHIGFCA28CC,,102.44,,加強磚造,,三層,,
RPPNMLMLQHIGFFA97CC,40.0,50.88,住家用,鋼筋混凝土造,72年11月28日,七層,,
RPSNMLMLQHIGFFA28CC,36.0,117.84,商業用,鋼筋混凝土造,76年11月23日,十二層,,
RPTNMLPLQHIGFFA68CC,45.0,21.04,住家用,鋼筋混凝土造,67年9月29日,七層,,
RPRNMLSLPHIGFCA38CC,56.0,70.44,,鋼筋混凝土造,56年10月31日,十層,,
RPRNMLSLPHIGFCA38CC,56.0,1.33,共有部分,鋼筋混凝土造,56年10月31日,十層,,
RPPNMLOJQHIGFCA67CC,39.0,29.92,住家用,鋼筋混凝土造,73年6月5日,十二層,,
RPRNMLSLPHIGFCA38CC,56.0,1.39,共有部分,鋼筋混凝土造,56年10月31日,十層,,
RPPNMLOJQHIGFCA67CC,39.0,5.72,共有部分,鋼筋混凝土造,73年6月5日,十二層,,
RPRNMLSLPHIGFCA38CC,56.0,18.47,共有部分,鋼筋混凝土造,56年10月31日,十層,,
RPQNMLRJQHIGFCA08CC,23.0,142.8,住家用,鋼筋混凝土造,89年6月28日,十層,,
RPQOMLMLRHIGFEA18CC,43.0,20.0,住家用,鋼筋混凝土造,69年8月27日,五層,,
RPPNMLSJQHIGFCA08CC,55.0,108.16,住家用,加強磚造,57年12月5日,二層,,
RPVNMLTKNHIGFFA88CC,,94.16,,加強磚造,,四層,,
RPRNMLRLPHIGFCA28CC,9.0,322.3,一般零售業甲組（不含便利商店）,鋼骨造,103年12月22日,十七層,,
RPRNMLRLPHIGFCA28CC,9.0,223.04,本共有部分之項目有自設騎樓、騎樓、管委會使用空間、梯廳、特別安全梯（甲）、特別安全梯（乙）、梯廳兼排煙室、排煙室、防災中心、車道、機電設備空間、機電設備空間（電梯機房）、機電設備空間（水錶室）、消防水箱、蓄水池、台電配電室、停車空間兼防空避難室、出入口緩衝空間、垃圾儲藏室、電信機房、發電機室、停車空間、機電設備空間（進風管道）、機電設備空間（排風管道）及機電設備空間（消防泵浦室）等２５項,鋼骨造,103年12月22日,十七層,,
RPPNMLKMQHIGFBA47CC,45.0,9.92,住家用,鋼筋混凝土造,67年8月22日,四層,,
RPTNMLQLRHIGFCA58CC,15.0,12.15,停車空間,鋼筋混凝土造,97年11月24日,十四層,,
RPTNMLQLRHIGFCA58CC,15.0,0.04,共有部分,鋼筋混凝土造,97年11月24日,十四層,,
RPTNMLQLRHIGFCA58CC,15.0,9.83,共有部分,鋼筋混凝土造,97年11月24日,十四層,,
RPTNMLQLRHIGFCA58CC,15.0,5.98,共有部分,鋼筋混凝土造,97年11月24日,十四層,,
RPTNMLQLRHIGFCA58CC,15.0,2.11,共有部分,鋼筋混凝土造,97年11月24日,十四層,,
RPQNMLLLRHIGFBB77CC,28.0,19.68,住家用,鋼筋混凝土造,84年11月24日,二十四層,,
RPUNMLLLRHIGFBB18CC,27.0,20.46,住家用,鋼筋混凝土造,85年7月15日,十四層,,
RPSNMLLLRHIGFBB97CC,43.0,100.03,住商用,鋼筋混凝土造,69年7月9日,五層,,
RPTNMLLLRHIGFBB08CC,27.0,20.68,住家用,鋼筋混凝土造,85年5月24日,十六層,,
RPQNMLLLRHIGFBB77CC,28.0,10.77,防空避難室，停車空間，門廳，樓梯間，機械室，水箱,鋼筋混凝土造,84年11月24日,二十四層,,
RPOOMLLLRHIGFBB67CC,2.0,51.49,集合住宅,鋼筋混凝土造,111年1月12日,十五層,,
RPUNMLLLRHIGFBB18CC,27.0,6.58,共有部份,鋼筋混凝土造,85年7月15日,十四層,,
RPSNMLLLRHIGFBB97CC,43.0,44.88,避難室,鋼筋混凝土造,69年7月19日,五層,,
RPTNMLLLRHIGFBB08CC,27.0,6.7,共用部份,鋼筋混凝土造,85年5月24日,十六層,,
RPOOMLLLRHIGFBB67CC,2.0,49.48,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間，排煙室，樓梯間，昇降機間，雨汙水機房，消防機房，機械室，水箱，停車空間，緊急發電機室，電信室，景觀機房，梯廳，管理室，門廊，門廳，資源回收中心，管委會空間，水景機房，走廊，梯間，水錶箱室，電梯機房等２３項。,鋼筋混凝土造,111年1月12日,十五層,,
RPUNMLLLRHIGFBB18CC,27.0,4.93,共有部份,鋼筋混凝土造,85年7月15日,十四層,,
RPTNMLLLRHIGFBB08CC,27.0,0.0,共用部份,鋼筋混凝土造,85年5月24日,十六層,,
RPUNMLLLRHIGFBB18CC,27.0,0.0,共有部份,鋼筋混凝土造,85年7月15日,十四層,,
RPTNMLLLRHIGFBB08CC,27.0,4.56,共用部份,鋼筋混凝土造,85年5月24日,十六層,,
RPPNMLLLRHIGFBB67CC,31.0,79.2,住家用,鋼筋混凝土造,82年1月6日,八層,,
RPXNMLLLRHIGFBB48CC,28.0,20.41,住家用,鋼筋混凝土造,84年6月26日,二十四層,,
RPPNMLLLRHIGFBB67CC,31.0,22.51,共用部份,鋼筋混凝土造,82年1月6日,八層,,
RPVNMLLLRHIGFBB28CC,28.0,146.95,住家用,鋼筋混凝土造,85年1月8日,三層,,
RPXNMLLLRHIGFBB48CC,28.0,5.41,共用部份,鋼筋混凝土造,84年6月26日,二十四層,,
RPXNMLLLRHIGFBB48CC,28.0,4.13,共用部份,鋼筋混凝土造,84年6月26日,二十四層,,
RPRNMLLLRHIGFBB87CC,28.0,18.53,住家用,鋼筋混凝土造,84年6月7日,二十一層,,
RPRNMLLLRHIGFBB87CC,28.0,11.69,共用部份,鋼筋混凝土造,84年6月7日,二十一層,,
RPWNMLLLRHIGFBB38CC,10.0,63.45,住家用,鋼筋混凝土造,102年7月25日,二十二層,,
RPWNMLLLRHIGFBB38CC,10.0,17.07,本共有部分係依使用執照之建築概要表記載項目有：管委會使用公共設施，垃圾處理室，梯間，梯廳，梯間（排煙室，昇降機間）梯間（梯廳，排煙室，昇降機間），走廊，中繼機械室（中繼水箱），機械室，水箱等１０項,鋼筋混凝土造,102年7月25日,二十二層,,
RPWNMLLLRHIGFBB38CC,10.0,13.62,本共有部分係依使用執照之建築概要表記載項目有：停車空間，車道，污水機房，清水池，消防機房，機房，梯間（梯廳，排煙室，昇降機間），防空避難室兼停車空間，發電機室，電信室，台電配電室，防災中心，公共設施等１３項,鋼筋混凝土造,102年7月25日,二十二層,,
RPTOMLLLRHIGFBB18CC,15.0,18.33,住家用,鋼筋混凝土造,97年11月28日,十七層,,
RPTOMLLLRHIGFBB18CC,15.0,3.81,共用部份,鋼筋混凝土造,97年11月28日,十七層,,
RPSOMLLLRHIGFBB08CC,28.0,37.31,住家用,鋼筋混凝土造,84年6月7日,二十一層,,
RPTOMLLLRHIGFBB18CC,15.0,8.53,共用部份,鋼筋混凝土造,97年11月28日,十七層,,
RPSOMLLLRHIGFBB08CC,28.0,23.54,共用部份,鋼筋混凝土造,84年6月7日,二十一層,,
RPQOMLLLRHIGFBB87CC,29.0,74.49,住家用,鋼筋混凝土造,83年4月1日,七層,,
RPUOMLLLRHIGFBB28CC,28.0,21.14,住家用,鋼筋混凝土造,84年11月24日,二十四層,,
RPPOMLLLRHIGFBB77CC,17.0,173.95,住房，停車空間,鋼筋混凝土造,95年6月26日,四層,,
